Time,T_BL100,MF_BL100,Rho_BL100,T_Cori,MF_Cori,Rho_Cori,DP
15.53.42.5,27.55096435546875,2.0209453105926514,1022.1129150390625,25.40580177307129,1.6903185844421387,1002.7362060546875,2.0500452518463135
15.53.43.0,27.55096435546875,2.020845651626587,1022.0955810546875,25.412694931030273,1.690092921257019,1002.9771118164062,2.0418496131896973
15.53.43.5,27.6412353515625,2.020758867263794,1022.094970703125,25.410396575927734,1.6895934343338013,1002.9683227539062,2.0379459857940674
15.53.44.0,27.82177734375,2.0206713676452637,1022.1495361328125,25.410396575927734,1.6895653009414673,1002.9542846679688,2.0536441802978516
15.53.44.5,27.7314453125,2.020601749420166,1022.146728515625,25.412694931030273,1.6897146701812744,1002.9155883789062,2.0738883018493652
15.53.45.0,27.7314453125,2.0205495357513428,1022.1578979492188,25.408096313476562,1.6898492574691772,1002.81005859375,2.0670182704925537
15.53.45.5,27.6412353515625,2.0205206871032715,1022.15771484375,25.40580177307129,1.6895588636398315,1002.9507446289062,2.0538008213043213
15.53.46.0,27.55096435546875,2.0205183029174805,1022.1513061523438,25.410396575927734,1.6889816522598267,1002.9542846679688,2.0574052333831787
15.53.46.5,27.9119873046875,2.0205206871032715,1022.1515502929688,25.410396575927734,1.6884739398956299,1002.8223876953125,2.077302932739258
15.53.47.0,27.55096435546875,2.0205554962158203,1022.1748046875,25.408096313476562,1.6892178058624268,1002.957763671875,2.067932367324829
15.53.47.5,27.6412353515625,2.020616292953491,1022.1507568359375,25.410396575927734,1.6893125772476196,1002.9454956054688,2.0477757453918457
15.53.48.0,27.55096435546875,2.020660877227783,1022.1644897460938,25.408096313476562,1.6890579462051392,1002.8768920898438,2.038369655609131
15.53.48.5,27.55096435546875,2.020686626434326,1022.155517578125,25.412694931030273,1.689451813697815,1003.0158081054688,2.0405211448669434
15.53.49.0,27.7314453125,2.0207467079162598,1022.15234375,25.41499137878418,1.689293384552002,1002.8839111328125,2.0619843006134033
15.53.49.5,27.6412353515625,2.0207691192626953,1022.1536865234375,25.412694931030273,1.689958930015564,1002.9102783203125,2.0673668384552
15.53.50.0,27.82177734375,2.0208146572113037,1022.126220703125,25.41958999633789,1.6899412870407104,1002.8469848632812,2.0534322261810303
15.53.50.5,27.82177734375,2.0208377838134766,1022.0977783203125,25.410396575927734,1.6906870603561401,1002.9559936523438,2.030505657196045
15.53.51.0,27.9119873046875,2.020864486694336,1022.083251953125,25.412694931030273,1.6905810832977295,1002.9437255859375,2.026252269744873
15.53.51.5,27.7314453125,2.0208418369293213,1022.0997924804688,25.40580177307129,1.6904802322387695,1002.9859008789062,2.035487174987793
15.53.52.0,27.9119873046875,2.0208170413970947,1022.0844116210938,25.410396575927734,1.6904332637786865,1002.8294067382812,2.03283953666687
15.53.52.5,27.7314453125,2.020775318145752,1022.093994140625,25.403501510620117,1.690080165863037,1002.7625732421875,2.0311222076416016
15.53.53.0,27.6412353515625,2.0207645893096924,1022.1099243164062,25.421886444091797,1.6896523237228394,1002.9208374023438,2.0344297885894775
15.53.53.5,27.6412353515625,2.0207128524780273,1022.1005859375,25.40580177307129,1.6897326707839966,1002.9771118164062,2.0366830825805664
15.53.54.0,27.6412353515625,2.0206809043884277,1022.0922241210938,25.410396575927734,1.6902602910995483,1002.9366455078125,2.0341861248016357
15.53.54.5,27.7314453125,2.0206186771392822,1022.099365234375,25.410396575927734,1.690097689628601,1002.9208374023438,2.038562059402466
15.53.55.0,27.7314453125,2.0205421447753906,1022.1031494140625,25.410396575927734,1.6906874179840088,1002.7608032226562,2.0290894508361816
15.53.55.5,27.6412353515625,2.0204412937164307,1022.0965576171875,25.412694931030273,1.6903743743896484,1002.8328857421875,2.020049810409546
15.53.56.0,27.6412353515625,2.020312547683716,1022.1001586914062,25.410396575927734,1.6902570724487305,1002.8663330078125,2.0258069038391113
15.53.56.5,27.82177734375,2.020167112350464,1022.094970703125,25.410396575927734,1.6899425983428955,1002.9190673828125,2.0255563259124756
15.53.57.0,28.092529296875,2.019970655441284,1022.1029663085938,25.412694931030273,1.689522624015808,1002.7097778320312,2.0261518955230713
